#Laksfors, 151.28.0, Vannføring, dogn
Tidspunkt;Vannføring (m³/s);Korrigert;Kontrollert
1953-01-01 11:00:00Z;10,16076;0;3
1953-01-02 11:00:00Z;10,16076;0;3
1953-01-03 11:00:00Z;10,16076;0;3
1953-01-04 11:00:00Z;10,16076;0;3
1953-01-05 11:00:00Z;10,16076;0;3
1953-01-06 11:00:00Z;10,16076;0;3
1953-01-07 11:00:00Z;10,16076;0;3
1953-01-08 11:00:00Z;10,16076;0;3
1953-01-09 11:00:00Z;10,16076;0;3
1953-01-10 11:00:00Z;10,16076;0;3
1953-01-11 11:00:00Z;10,16076;0;3
1953-01-12 11:00:00Z;51,77753;0;3
1953-01-13 11:00:00Z;122,9065;0;3
1953-01-14 11:00:00Z;88,97371;0;3
1953-01-15 11:00:00Z;57,12974;0;3
1953-01-16 11:00:00Z;40,91922;0;3
1953-01-17 11:00:00Z;143,9282;0;3
1953-01-18 11:00:00Z;223,6056;0;3
1953-01-19 11:00:00Z;88,97371;0;3
1953-01-20 11:00:00Z;138,122;0;3
1953-01-21 11:00:00Z;125,5918;0;3
1953-01-22 11:00:00Z;88,97371;0;3
1953-01-23 11:00:00Z;68,61374;0;3
1953-01-24 11:00:00Z;58,23139;0;3
1953-01-25 11:00:00Z;47,68313;0;3
1953-01-26 11:00:00Z;49,7095;0;3
1953-01-27 11:00:00Z;50,7383;0;3
1953-01-28 11:00:00Z;47,68313;0;3
1953-01-29 11:00:00Z;41,85419;0;3
1953-01-30 11:00:00Z;38,17692;0;3
1953-01-31 11:00:00Z;34,66681;0;3
1953-02-01 11:00:00Z;34,66681;0;3
1953-02-02 11:00:00Z;34,66681;0;3
1953-02-03 11:00:00Z;34,66681;0;3
1953-02-04 11:00:00Z;34,66681;0;3
1953-02-05 11:00:00Z;33,81543;0;3
1953-02-06 11:00:00Z;32,9745;0;3
1953-02-07 11:00:00Z;32,14404;0;3
1953-02-08 11:00:00Z;31,32405;0;3
1953-02-09 11:00:00Z;30,51453;0;3
1953-02-10 11:00:00Z;29,71549;0;3
1953-02-11 11:00:00Z;28,92693;0;3
1953-02-12 11:00:00Z;28,92693;0;3
1953-02-13 11:00:00Z;28,14884;0;3
1953-02-14 11:00:00Z;25,14139;0;3
1953-02-15 11:00:00Z;24,41576;0;3
1953-02-16 11:00:00Z;24,41576;0;3
1953-02-17 11:00:00Z;23,70064;0;3
1953-02-18 11:00:00Z;23,70064;0;3
1953-02-19 11:00:00Z;22,30192;0;3
1953-02-20 11:00:00Z;21,61832;0;3
1953-02-21 11:00:00Z;21,61832;0;3
1953-02-22 11:00:00Z;20,94525;0;3
1953-02-23 11:00:00Z;20,94525;0;3
1953-02-24 11:00:00Z;21,61832;0;3
1953-02-25 11:00:00Z;25,87751;0;3
1953-02-26 11:00:00Z;37,28371;0;3
1953-02-27 11:00:00Z;106,313;0;3
1953-02-28 11:00:00Z;100,3215;0;3
1953-03-01 11:00:00Z;138,122;0;3
1953-03-02 11:00:00Z;406,7626;0;3
1953-03-03 11:00:00Z;318,6562;0;3
1953-03-04 11:00:00Z;201,1972;0;3
1953-03-05 11:00:00Z;145,4028;0;3
1953-03-06 11:00:00Z;275,0684;0;3
1953-03-07 11:00:00Z;270,7083;0;3
1953-03-08 11:00:00Z;187,0602;0;3
1953-03-09 11:00:00Z;266,391;0;3
1953-03-10 11:00:00Z;159,0941;0;3
1953-03-11 11:00:00Z;124,2447;0;3
1953-03-12 11:00:00Z;103,8907;0;3
1953-03-13 11:00:00Z;94,54276;0;3
1953-03-14 11:00:00Z;243,4046;0;3
1953-03-15 11:00:00Z;290,6684;0;3
1953-03-16 11:00:00Z;302,1375;0;3
1953-03-17 11:00:00Z;192,2872;0;3
1953-03-18 11:00:00Z;142,4628;0;3
1953-03-19 11:00:00Z;113,7874;0;3
1953-03-20 11:00:00Z;96,82894;0;3
1953-03-21 11:00:00Z;241,378;0;3
1953-03-22 11:00:00Z;270,7083;0;3
