#Tollåga, 161.7.0, Vannføring, dogn
Tidspunkt;Vannføring (m³/s);Korrigert;Kontrollert
1973-01-01 11:00:00Z;11,22419;0;3
1973-01-02 11:00:00Z;9,974216;0;3
1973-01-03 11:00:00Z;8,070228;0;3
1973-01-04 11:00:00Z;7,03366;0;3
1973-01-05 11:00:00Z;5,900297;0;3
1973-01-06 11:00:00Z;4,877141;0;3
1973-01-07 11:00:00Z;7,03366;0;3
1973-01-08 11:00:00Z;7,715975;0;3
1973-01-09 11:00:00Z;7,715975;0;3
1973-01-10 11:00:00Z;8,433275;0;3
1973-01-11 11:00:00Z;7,03366;0;3
1973-01-12 11:00:00Z;6,081473;0;3
1973-01-13 11:00:00Z;5,547119;0;3
1973-01-14 11:00:00Z;4,406121;0;3
1973-01-15 11:00:00Z;4,255044;0;3
1973-01-16 11:00:00Z;3,680052;0;3
1973-01-17 11:00:00Z;3,151356;0;3
1973-01-18 11:00:00Z;2,784704;0;3
1973-01-19 11:00:00Z;2,668103;0;3
1973-01-20 11:00:00Z;2,554287;0;3
1973-01-21 11:00:00Z;2,554287;0;3
1973-01-22 11:00:00Z;2,668103;0;3
1973-01-23 11:00:00Z;2,668103;0;3
1973-01-24 11:00:00Z;2,668103;0;3
1973-01-25 11:00:00Z;2,443241;0;3
1973-01-26 11:00:00Z;2,2294;0;3
1973-01-27 11:00:00Z;2,126575;0;3
1973-01-28 11:00:00Z;1,929039;0;3
1973-01-29 11:00:00Z;1,834298;0;3
1973-01-30 11:00:00Z;1,742218;0;3
1973-01-31 11:00:00Z;1,652785;0;3
1973-02-01 11:00:00Z;1,565981;0;3
1973-02-02 11:00:00Z;1,481791;0;3
1973-02-03 11:00:00Z;1,481791;0;3
1973-02-04 11:00:00Z;1,400195;0;3
1973-02-05 11:00:00Z;1,321178;0;3
1973-02-06 11:00:00Z;1,244721;0;3
1973-02-07 11:00:00Z;1,244721;0;3
1973-02-08 11:00:00Z;1,170806;0;3
1973-02-09 11:00:00Z;1,099414;0;3
1973-02-10 11:00:00Z;1,030527;0;3
1973-02-11 11:00:00Z;1,030527;0;3
1973-02-12 11:00:00Z;0,9641246;0;3
1973-02-13 11:00:00Z;0,9641246;0;3
1973-02-14 11:00:00Z;0,9001881;0;3
1973-02-15 11:00:00Z;0,838697;0;3
1973-02-16 11:00:00Z;0,838697;0;3
1973-02-17 11:00:00Z;0,7796305;0;3
1973-02-18 11:00:00Z;0,7229679;0;3
1973-02-19 11:00:00Z;0,7229679;0;3
1973-02-20 11:00:00Z;0,6686874;0;3
1973-02-21 11:00:00Z;0,6686874;0;3
1973-02-22 11:00:00Z;0,6167667;0;3
1973-02-23 11:00:00Z;0,6167667;0;3
1973-02-24 11:00:00Z;0,5671835;0;3
1973-02-25 11:00:00Z;0,5671835;0;3
1973-02-26 11:00:00Z;0,5199142;0;3
1973-02-27 11:00:00Z;0,5199142;0;3
1973-02-28 11:00:00Z;0,5199142;0;3
1973-03-01 11:00:00Z;0,4749349;0;3
1973-03-02 11:00:00Z;0,4749349;0;3
1973-03-03 11:00:00Z;0,4749349;0;3
1973-03-04 11:00:00Z;0,4749349;0;3
1973-03-05 11:00:00Z;0,4322211;0;3
1973-03-06 11:00:00Z;0,4322211;0;3
1973-03-07 11:00:00Z;0,4322211;0;3
1973-03-08 11:00:00Z;0,4322211;0;3
1973-03-09 11:00:00Z;0,4322211;0;3
1973-03-10 11:00:00Z;0,9641246;0;3
1973-03-11 11:00:00Z;1,565981;0;3
1973-03-12 11:00:00Z;2,33495;0;3
1973-03-13 11:00:00Z;2,784704;0;3
1973-03-14 11:00:00Z;2,554287;0;3
1973-03-15 11:00:00Z;3,680052;0;3
1973-03-16 11:00:00Z;4,560154;0;3
1973-03-17 11:00:00Z;3,409969;0;3
1973-03-18 11:00:00Z;2,554287;0;3
1973-03-19 11:00:00Z;1,929039;0;3
1973-03-20 11:00:00Z;1,565981;0;3
1973-03-21 11:00:00Z;1,321178;0;3
1973-03-22 11:00:00Z;1,244721;0;3
1973-03-23 11:00:00Z;1,834298;0;3
1973-03-24 11:00:00Z;7,542134;0;3
1973-03-25 11:00:00Z;9,185919;0;3
1973-03-26 11:00:00Z;8,433275;0;3
1973-03-27 11:00:00Z;5,900297;0;3
1973-03-28 11:00:00Z;4,717158;0;3
1973-03-29 11:00:00Z;3,96171;0;3
1973-03-30 11:00:00Z;3,819428;0;3
1973-03-31 11:00:00Z;3,819428;0;3
1973-04-01 11:00:00Z;3,680052;0;3
1973-04-02 11:00:00Z;3,409969;0;3
1973-04-03 11:00:00Z;3,026317;0;3
1973-04-04 11:00:00Z;2,668103;0;3
1973-04-05 11:00:00Z;2,443241;0;3
1973-04-06 11:00:00Z;2,2294;0;3
1973-04-07 11:00:00Z;2,02646;0;3
1973-04-08 11:00:00Z;1,834298;0;3
1973-04-09 11:00:00Z;1,652785;0;3
1973-04-10 11:00:00Z;1,565981;0;3
1973-04-11 11:00:00Z;1,481791;0;3
1973-04-12 11:00:00Z;1,400195;0;3
1973-04-13 11:00:00Z;1,321178;0;3
1973-04-14 11:00:00Z;1,321178;0;3
1973-04-15 11:00:00Z;1,244721;0;3
1973-04-16 11:00:00Z;1,170806;0;3
1973-04-17 11:00:00Z;1,099414;0;3
1973-04-18 11:00:00Z;1,099414;0;3
1973-04-19 11:00:00Z;1,030527;0;3
1973-04-20 11:00:00Z;1,030527;0;3
1973-04-21 11:00:00Z;0,9641246;0;3
1973-04-22 11:00:00Z;0,9641246;0;3
1973-04-23 11:00:00Z;0,9001881;0;3
1973-04-24 11:00:00Z;0,9001881;0;3
1973-04-25 11:00:00Z;0,9001881;0;3
1973-04-26 11:00:00Z;0,838697;0;3
1973-04-27 11:00:00Z;0,838697;0;3
1973-04-28 11:00:00Z;0,838697;0;3
1973-04-29 11:00:00Z;0,838697;0;3
1973-04-30 11:00:00Z;0,838697;0;3
1973-05-01 11:00:00Z;0,838697;0;3
1973-05-02 11:00:00Z;1,244721;0;3
1973-05-03 11:00:00Z;1,742218;0;3
1973-05-04 11:00:00Z;1,565981;0;3
1973-05-05 11:00:00Z;1,400195;0;3
1973-05-06 11:00:00Z;1,400195;0;3
1973-05-07 11:00:00Z;1,565981;0;3
1973-05-08 11:00:00Z;2,02646;0;3
1973-05-09 11:00:00Z;4,877141;0;3
1973-05-10 11:00:00Z;7,03366;0;3
1973-05-11 11:00:00Z;8,805161;0;3
1973-05-12 11:00:00Z;8,805161;0;3
1973-05-13 11:00:00Z;8,250649;0;3
1973-05-14 11:00:00Z;7,892004;0;3
1973-05-15 11:00:00Z;7,715975;0;3
1973-05-16 11:00:00Z;6,265721;0;3
1973-05-17 11:00:00Z;5,206098;0;3
1973-05-18 11:00:00Z;6,081473;0;3
1973-05-19 11:00:00Z;7,370477;0;3
1973-05-20 11:00:00Z;10,38183;0;3
1973-05-21 11:00:00Z;13,48996;0;3
1973-05-22 11:00:00Z;13,01839;0;3
1973-05-23 11:00:00Z;13,48996;0;3
1973-05-24 11:00:00Z;14,96047;0;3
1973-05-25 11:00:00Z;12,10295;0;3
1973-05-26 11:00:00Z;11,0102;0;3
1973-05-27 11:00:00Z;10,79848;0;3
1973-05-28 11:00:00Z;13,48996;0;3
1973-05-29 11:00:00Z;18,43722;0;3
1973-05-30 11:00:00Z;26,96085;0;3
1973-05-31 11:00:00Z;40,50885;0;3
1973-06-01 11:00:00Z;61,97269;0;3
1973-06-02 11:00:00Z;78,49022;0;3
1973-06-03 11:00:00Z;54,63248;0;3
1973-06-04 11:00:00Z;47,87616;0;3
1973-06-05 11:00:00Z;47,23181;0;3
1973-06-06 11:00:00Z;53,2352;0;3
1973-06-07 11:00:00Z;65,07708;0;3
1973-06-08 11:00:00Z;51,18268;0;3
1973-06-09 11:00:00Z;44,09363;0;3
1973-06-10 11:00:00Z;37,66916;0;3
1973-06-11 11:00:00Z;37,66916;0;3
1973-06-12 11:00:00Z;29,09928;0;3
1973-06-13 11:00:00Z;25,58511;0;3
1973-06-14 11:00:00Z;45,33227;0;3
1973-06-15 11:00:00Z;35,49205;0;3
1973-06-16 11:00:00Z;30,89337;0;3
1973-06-17 11:00:00Z;28,73661;0;3
1973-06-18 11:00:00Z;44,09363;0;3
1973-06-19 11:00:00Z;51,18268;0;3
1973-06-20 11:00:00Z;58,96517;0;3
1973-06-21 11:00:00Z;61,21178;0;3
1973-06-22 11:00:00Z;59,70804;0;3
1973-06-23 11:00:00Z;60,45691;0;3
1973-06-24 11:00:00Z;58,96517;0;3
1973-06-25 11:00:00Z;53,93093;0;3
1973-06-26 11:00:00Z;50,51;0;3
1973-06-27 11:00:00Z;48,52613;0;3
1973-06-28 11:00:00Z;48,52613;0;3
1973-06-29 11:00:00Z;47,87616;0;3
1973-06-30 11:00:00Z;58,22826;0;3
1973-07-01 11:00:00Z;61,97269;0;3
1973-07-02 11:00:00Z;69,09582;0;3
1973-07-03 11:00:00Z;69,91821;0;3
1973-07-04 11:00:00Z;66,66602;0;3
1973-07-05 11:00:00Z;55,33987;0;3
1973-07-06 11:00:00Z;50,51;0;3
1973-07-07 11:00:00Z;65,07708;0;3
1973-07-08 11:00:00Z;78,49022;0;3
1973-07-09 11:00:00Z;75,85158;0;3
1973-07-10 11:00:00Z;61,21178;0;3
1973-07-11 11:00:00Z;55,33987;0;3
1973-07-12 11:00:00Z;46,59306;0;3
1973-07-13 11:00:00Z;43,48257;0;3
1973-07-14 11:00:00Z;43,48257;0;3
1973-07-15 11:00:00Z;39,93027;0;3
1973-07-16 11:00:00Z;35,49205;0;3
1973-07-17 11:00:00Z;37,11706;0;3
1973-07-18 11:00:00Z;36,57019;0;3
1973-07-19 11:00:00Z;49,18174;0;3
1973-07-20 11:00:00Z;73,27065;0;3
1973-07-21 11:00:00Z;51,18268;0;3
1973-07-22 11:00:00Z;45,33227;0;3
1973-07-23 11:00:00Z;38,22651;0;3
1973-07-24 11:00:00Z;32,3808;0;3
1973-07-25 11:00:00Z;29,46446;0;3
1973-07-26 11:00:00Z;24,91212;0;3
1973-07-27 11:00:00Z;22,95237;0;3
1973-07-28 11:00:00Z;19,88176;0;3
1973-07-29 11:00:00Z;16,51536;0;3
1973-07-30 11:00:00Z;15,98763;0;3
1973-07-31 11:00:00Z;15,46935;0;3
1973-08-01 11:00:00Z;18,72132;0;3
1973-08-02 11:00:00Z;16,51536;0;3
1973-08-03 11:00:00Z;14,70955;0;3
1973-08-04 11:00:00Z;11,87983;0;3
1973-08-05 11:00:00Z;17,59927;0;3
1973-08-06 11:00:00Z;22,95237;0;3
1973-08-07 11:00:00Z;18,72132;0;3
1973-08-08 11:00:00Z;25,58511;0;3
1973-08-09 11:00:00Z;17,32473;0;3
1973-08-10 11:00:00Z;11,22419;0;3
1973-08-11 11:00:00Z;13,01839;0;3
1973-08-12 11:00:00Z;13,01839;0;3
1973-08-13 11:00:00Z;14,46097;0;3
1973-08-14 11:00:00Z;17,8762;0;3
1973-08-15 11:00:00Z;19,88176;0;3
1973-08-16 11:00:00Z;19,58804;0;3
1973-08-17 11:00:00Z;15,46935;0;3
1973-08-18 11:00:00Z;20,47645;0;3
1973-08-19 11:00:00Z;18,72132;0;3
1973-08-20 11:00:00Z;17,32473;0;3
1973-08-21 11:00:00Z;14,46097;0;3
1973-08-22 11:00:00Z;11,659;0;3
1973-08-23 11:00:00Z;14,46097;0;3
1973-08-24 11:00:00Z;22,63434;0;3
1973-08-25 11:00:00Z;24,91212;0;3
1973-08-26 11:00:00Z;17,32473;0;3
1973-08-27 11:00:00Z;14,21473;0;3
1973-08-28 11:00:00Z;15,98763;0;3
1973-08-29 11:00:00Z;13,01839;0;3
1973-08-30 11:00:00Z;10,38183;0;3
1973-08-31 11:00:00Z;9,575592;0;3
1973-09-01 11:00:00Z;9,575592;0;3
1973-09-02 11:00:00Z;10,1769;0;3
1973-09-03 11:00:00Z;9,974216;0;3
1973-09-04 11:00:00Z;8,070228;0;3
1973-09-05 11:00:00Z;7,542134;0;3
1973-09-06 11:00:00Z;14,21473;0;3
1973-09-07 11:00:00Z;10,1769;0;3
1973-09-08 11:00:00Z;9,379639;0;3
1973-09-09 11:00:00Z;9,575592;0;3
1973-09-10 11:00:00Z;7,892004;0;3
1973-09-11 11:00:00Z;7,370477;0;3
1973-09-12 11:00:00Z;7,03366;0;3
1973-09-13 11:00:00Z;6,837012;0;3
1973-09-14 11:00:00Z;6,643479;0;3
1973-09-15 11:00:00Z;8,994428;0;3
1973-09-16 11:00:00Z;11,22419;0;3
1973-09-17 11:00:00Z;8,433275;0;3
1973-09-18 11:00:00Z;6,643479;0;3
1973-09-19 11:00:00Z;5,375094;0;3
1973-09-20 11:00:00Z;4,717158;0;3
1973-09-21 11:00:00Z;4,106911;0;3
1973-09-22 11:00:00Z;3,680052;0;3
1973-09-23 11:00:00Z;3,279235;0;3
1973-09-24 11:00:00Z;3,026317;0;3
1973-09-25 11:00:00Z;2,784704;0;3
1973-09-26 11:00:00Z;2,554287;0;3
1973-09-27 11:00:00Z;2,443241;0;3
1973-09-28 11:00:00Z;2,33495;0;3
1973-09-29 11:00:00Z;2,2294;0;3
1973-09-30 11:00:00Z;2,2294;0;3
1973-10-01 11:00:00Z;2,33495;0;3
1973-10-02 11:00:00Z;3,279235;0;3
1973-10-03 11:00:00Z;11,22419;0;3
1973-10-04 11:00:00Z;20,77743;0;3
1973-10-05 11:00:00Z;15,46935;0;3
1973-10-06 11:00:00Z;8,805161;0;3
1973-10-07 11:00:00Z;6,837012;0;3
1973-10-08 11:00:00Z;5,547119;0;3
1973-10-09 11:00:00Z;4,560154;0;3
1973-10-10 11:00:00Z;3,96171;0;3
1973-10-11 11:00:00Z;3,409969;0;3
1973-10-12 11:00:00Z;3,151356;0;3
1973-10-13 11:00:00Z;3,279235;0;3
1973-10-14 11:00:00Z;3,151356;0;3
1973-10-15 11:00:00Z;3,279235;0;3
1973-10-16 11:00:00Z;2,904104;0;3
1973-10-17 11:00:00Z;2,784704;0;3
1973-10-18 11:00:00Z;2,554287;0;3
1973-10-19 11:00:00Z;2,554287;0;3
1973-10-20 11:00:00Z;2,443241;0;3
1973-10-21 11:00:00Z;2,443241;0;3
1973-10-22 11:00:00Z;2,33495;0;3
1973-10-23 11:00:00Z;2,33495;0;3
1973-10-24 11:00:00Z;2,443241;0;3
1973-10-25 11:00:00Z;3,409969;0;3
1973-10-26 11:00:00Z;6,837012;0;3
1973-10-27 11:00:00Z;6,837012;0;3
1973-10-28 11:00:00Z;9,773783;0;3
1973-10-29 11:00:00Z;7,370477;0;3
1973-10-30 11:00:00Z;5,206098;0;3
1973-10-31 11:00:00Z;4,560154;0;3
1973-11-01 11:00:00Z;7,370477;0;3
1973-11-02 11:00:00Z;11,87983;0;3
1973-11-03 11:00:00Z;8,805161;0;3
1973-11-04 11:00:00Z;7,892004;0;3
1973-11-05 11:00:00Z;12,55607;0;3
1973-11-06 11:00:00Z;12,10295;0;3
1973-11-07 11:00:00Z;8,070228;0;3
1973-11-08 11:00:00Z;7,715975;0;3
1973-11-09 11:00:00Z;6,081473;0;3
1973-11-10 11:00:00Z;5,206098;0;3
1973-11-11 11:00:00Z;4,560154;0;3
1973-11-12 11:00:00Z;4,106911;0;3
1973-11-13 11:00:00Z;3,680052;0;3
1973-11-14 11:00:00Z;3,409969;0;3
1973-11-15 11:00:00Z;3,151356;0;3
1973-11-16 11:00:00Z;2,904104;0;3
1973-11-17 11:00:00Z;2,784704;0;3
1973-11-18 11:00:00Z;2,668103;0;3
1973-11-19 11:00:00Z;2,554287;0;3
1973-11-20 11:00:00Z;2,443241;0;3
1973-11-21 11:00:00Z;2,33495;0;3
1973-11-22 11:00:00Z;2,33495;0;3
1973-11-23 11:00:00Z;2,2294;0;3
1973-11-24 11:00:00Z;2,126575;0;3
1973-11-25 11:00:00Z;2,02646;0;3
1973-11-26 11:00:00Z;1,929039;0;3
1973-11-27 11:00:00Z;1,929039;0;3
1973-11-28 11:00:00Z;1,834298;0;3
1973-11-29 11:00:00Z;1,834298;0;3
1973-11-30 11:00:00Z;1,742218;0;3
1973-12-01 11:00:00Z;1,652785;0;3
1973-12-02 11:00:00Z;1,652785;0;3
1973-12-03 11:00:00Z;1,652785;0;3
1973-12-04 11:00:00Z;1,565981;0;3
1973-12-05 11:00:00Z;1,565981;0;3
1973-12-06 11:00:00Z;1,481791;0;3
1973-12-07 11:00:00Z;1,481791;0;3
1973-12-08 11:00:00Z;1,481791;0;3
1973-12-09 11:00:00Z;1,400195;0;3
1973-12-10 11:00:00Z;1,400195;0;3
1973-12-11 11:00:00Z;1,321178;0;3
1973-12-12 11:00:00Z;1,321178;0;3
1973-12-13 11:00:00Z;1,321178;0;3
1973-12-14 11:00:00Z;1,244721;0;3
1973-12-15 11:00:00Z;1,244721;0;3
1973-12-16 11:00:00Z;1,244721;0;3
1973-12-17 11:00:00Z;1,244721;0;3
1973-12-18 11:00:00Z;1,170806;0;3
1973-12-19 11:00:00Z;1,170806;0;3
1973-12-20 11:00:00Z;1,170806;0;3
1973-12-21 11:00:00Z;1,170806;0;3
1973-12-22 11:00:00Z;1,170806;0;3
1973-12-23 11:00:00Z;1,170806;0;3
1973-12-24 11:00:00Z;1,170806;0;3
1973-12-25 11:00:00Z;1,170806;0;3
1973-12-26 11:00:00Z;1,170806;0;3
1973-12-27 11:00:00Z;1,244721;0;3
1973-12-28 11:00:00Z;1,244721;0;3
1973-12-29 11:00:00Z;1,321178;0;3
1973-12-30 11:00:00Z;1,400195;0;3
1973-12-31 11:00:00Z;1,565981;0;3
1974-01-01 11:00:00Z;1,742218;0;3
1974-01-02 11:00:00Z;2,2294;0;3
1974-01-03 11:00:00Z;2,554287;0;3
1974-01-04 11:00:00Z;2,668103;0;3
1974-01-05 11:00:00Z;2,33495;0;3
1974-01-06 11:00:00Z;1,929039;0;3
1974-01-07 11:00:00Z;1,481791;0;3
